Reactant_B,Reactant_C,SMILES of the product,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2cccc3c2Oc2ccccc2S3)n1N,97.5,87.3
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,Cc1nc2c(F)cc(-c3cccc(=N)n3N)cc2n1C(C)C,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2cccc3c2sc2ccccc23)n1N,100,100
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,C=C(c1cccc(=N)n1N)C(F)(F)F,0,0
OB(c1c[n](-c2ccccc2)nc1)O,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2cnn(-c3ccccc3)c2)n1N,44.7,46.2
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N#Cc1cc(-c2cccc(=N)n2N)ccc1OC1CCOCC1,100,100
OCc1c(B(O)O)cc(F)cc1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2cc(F)ccc2CO)n1N,77.4,53.6
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,CC(=O)Oc1ccc(-c2cccc(=N)n2N)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2cnc3ccccc3c2)n1N,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(C2=Cc3ccccc3C2)n1N,0,0
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2scc3c2OCCO3)n1N,85,38.9
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,CC(C)(C)OC(=O)N1CCCC1c1cccc(=N)n1N,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2cccc(=O)[nH]2)n1N,43.5,17.7
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,Cc1ccc2cn[nH]c2c1-c1cccc(=N)n1N,12.1,9
COc1c(B(O)O)c(C2CC2)ncn1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,COc1ncnc(C2CC2)c1-c1cccc(=N)n1N,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,COc1ccc(-c2cccc(=N)n2N)cn1,100,100
O=Cc1ccc(B2OCCCO2)cc1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2ccc(C=O)cc2)n1N,98.5,82.9
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Brc1nc(C2CC2)on1,Cc1cc(-c2noc(C3CC3)n2)ccc1C(=O)N1CCCC1,0,0
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Brc1nc(C2CC2)on1,c1ccc2oc(-c3ccc(-c4noc(C5CC5)n4)cc3)nc2c1,0,0
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Brc1nc(C2CC2)on1,c1ccc2c(c1)Oc1c(cccc1-c1noc(C3CC3)n1)S2,0,0
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Brc1nc(C2CC2)on1,Cc1nc2c(F)cc(-c3noc(C4CC4)n3)cc2n1C(C)C,0,0
OB(c1c2sc3c(c2ccc1)cccc3)O,Brc1nc(C2CC2)on1,c1ccc2c(c1)sc1c(-c3noc(C4CC4)n3)cccc12,0,0
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Brc1nc(C2CC2)on1,C=C(c1noc(C2CC2)n1)C(F)(F)F,0,0
OB(c1c[n](-c2ccccc2)nc1)O,Brc1nc(C2CC2)on1,c1ccc(-n2cc(-c3noc(C4CC4)n3)cn2)cc1,0,0
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Brc1nc(C2CC2)on1,N#Cc1cc(-c2noc(C3CC3)n2)ccc1OC1CCOCC1,0,0
OCc1c(B(O)O)cc(F)cc1,Brc1nc(C2CC2)on1,OCc1ccc(F)cc1-c1noc(C2CC2)n1,0,0
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Brc1nc(C2CC2)on1,CC(=O)Oc1ccc(-c2noc(C3CC3)n2)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Brc1nc(C2CC2)on1,C1=C(c2noc(C3CC3)n2)Cc2ccccc21,0,0
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Brc1nc(C2CC2)on1,c1sc(-c2noc(C3CC3)n2)c2c1OCCO2,0,0
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Brc1nc(C2CC2)on1,CC(C)(C)OC(=O)N1CCCC1c1noc(C2CC2)n1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Brc1nc(C2CC2)on1,O=c1cccc(-c2noc(C3CC3)n2)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Brc1nc(C2CC2)on1,Cc1ccc2cn[nH]c2c1-c1noc(C2CC2)n1,100,100
COc1c(B(O)O)c(C2CC2)ncn1,Brc1nc(C2CC2)on1,COc1ncnc(C2CC2)c1-c1noc(C2CC2)n1,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Brc1nc(C2CC2)on1,COc1ccc(-c2noc(C3CC3)n2)cn1,0,0
O=Cc1cc(B(O)O)ccc1,Brc1nc(C2CC2)on1,O=Cc1cccc(-c2noc(C3CC3)n2)c1,0,0
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,O=C(c1c(Br)nccn1)O,Cc1cc(-c2nccnc2C(=O)O)ccc1C(=O)N1CCCC1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1-c1ccc(-c2nc3ccccc3o2)cc1,95.8,100
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1-c1cccc2c1Oc1ccccc1S2,100,100
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,O=C(c1c(Br)nccn1)O,Cc1nc2c(F)cc(-c3nccnc3C(=O)O)cc2n1C(C)C,56.2,54.8
OB(c1c2sc3c(c2ccc1)cccc3)O,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1-c1cccc2c1sc1ccccc12,100,100
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,O=C(c1c(Br)nccn1)O,N#Cc1cc(-c2nccnc2C(=O)O)ccc1OC1CCOCC1,100,100
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,O=C(c1c(Br)nccn1)O,CC(=O)Oc1ccc(-c2nccnc2C(=O)O)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1-c1cnc2ccccc2c1,0,0
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1C1=Cc2ccccc2C1,0,0
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1-c1scc2c1OCCO2,69.7,24.7
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,O=C(c1c(Br)nccn1)O,CC(C)(C)OC(=O)N1CCCC1c1nccnc1C(=O)O,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,O=C(c1c(Br)nccn1)O,O=C(O)c1nccnc1-c1cccc(=O)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,O=C(c1c(Br)nccn1)O,Cc1ccc2cn[nH]c2c1-c1nccnc1C(=O)O,0,0
COc1c(B(O)O)c(C2CC2)ncn1,O=C(c1c(Br)nccn1)O,COc1ncnc(C2CC2)c1-c1nccnc1C(=O)O,69.8,13
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,O=C(c1c(Br)nccn1)O,COc1ccc(-c2nccnc2C(=O)O)cn1,97.7,89
O=Cc1cc(B(O)O)ccc1,O=C(c1c(Br)nccn1)O,O=Cc1cccc(-c2nccnc2C(=O)O)c1,100,100
O=Cc1ccc(B2OCCCO2)cc1,O=C(c1c(Br)nccn1)O,O=Cc1ccc(-c2nccnc2C(=O)O)cc1,0,0
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Ic1ccncc1,Cc1cc(-c2ccncc2)ccc1C(=O)N1CCCC1,83.1,87.7
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Ic1ccncc1,c1ccc2oc(-c3ccc(-c4ccncc4)cc3)nc2c1,97.1,87.9
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Ic1ccncc1,c1ccc2c(c1)Oc1c(cccc1-c1ccncc1)S2,100,100
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Ic1ccncc1,Cc1nc2c(F)cc(-c3ccncc3)cc2n1C(C)C,85.6,57.6
OB(c1c2sc3c(c2ccc1)cccc3)O,Ic1ccncc1,c1ccc2c(c1)sc1c(-c3ccncc3)cccc12,100,100
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Ic1ccncc1,C=C(c1ccncc1)C(F)(F)F,92.4,88.6
OB(c1c[n](-c2ccccc2)nc1)O,Ic1ccncc1,c1ccc(-n2cc(-c3ccncc3)cn2)cc1,86,79.6
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Ic1ccncc1,N#Cc1cc(-c2ccncc2)ccc1OC1CCOCC1,98.5,98.9
OCc1c(B(O)O)cc(F)cc1,Ic1ccncc1,OCc1ccc(F)cc1-c1ccncc1,95.6,100
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Ic1ccncc1,CC(=O)Oc1ccc(-c2ccncc2)cc1C(F)(F)F,73.4,71.7
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Ic1ccncc1,c1ccc2ncc(-c3ccncc3)cc2c1,99.1,99.1
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Ic1ccncc1,c1cc(-c2scc3c2OCCO3)ccn1,93.7,94.2
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Ic1ccncc1,CC(C)(C)OC(=O)N1CCCC1c1ccncc1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Ic1ccncc1,O=c1cccc(-c2ccncc2)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Ic1ccncc1,Cc1ccc2cn[nH]c2c1-c1ccncc1,41.5,24.4
COc1c(B(O)O)c(C2CC2)ncn1,Ic1ccncc1,COc1ncnc(C2CC2)c1-c1ccncc1,62.7,32.8
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Ic1ccncc1,COc1ccc(-c2ccncc2)cn1,92.7,89.1
O=Cc1cc(B(O)O)ccc1,Ic1ccncc1,O=Cc1cccc(-c2ccncc2)c1,96.7,87.3
O=Cc1ccc(B2OCCCO2)cc1,Ic1ccncc1,O=Cc1ccc(-c2ccncc2)cc1,95.3,95.1
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,FC(c1cnc(Br)nc1)(F)F,Cc1cc(-c2ncc(C(F)(F)F)cn2)ccc1C(=O)N1CCCC1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(-c2ccc(-c3nc4ccccc4o3)cc2)nc1,0,0
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(-c2cccc3c2Oc2ccccc2S3)nc1,100,100
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,FC(c1cnc(Br)nc1)(F)F,Cc1nc2c(F)cc(-c3ncc(C(F)(F)F)cn3)cc2n1C(C)C,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(-c2cccc3c2sc2ccccc23)nc1,100,100
OB(c1c[n](-c2ccccc2)nc1)O,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(-c2cnn(-c3ccccc3)c2)nc1,100,100
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,FC(c1cnc(Br)nc1)(F)F,N#Cc1cc(-c2ncc(C(F)(F)F)cn2)ccc1OC1CCOCC1,100,100
OCc1c(B(O)O)cc(F)cc1,FC(c1cnc(Br)nc1)(F)F,OCc1ccc(F)cc1-c1ncc(C(F)(F)F)cn1,0,0
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,FC(c1cnc(Br)nc1)(F)F,CC(=O)Oc1ccc(-c2ncc(C(F)(F)F)cn2)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(-c2cnc3ccccc3c2)nc1,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(C2=Cc3ccccc3C2)nc1,100,100
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,FC(c1cnc(Br)nc1)(F)F,FC(F)(F)c1cnc(-c2scc3c2OCCO3)nc1,100,100
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,FC(c1cnc(Br)nc1)(F)F,CC(C)(C)OC(=O)N1CCCC1c1ncc(C(F)(F)F)cn1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,FC(c1cnc(Br)nc1)(F)F,O=c1cccc(-c2ncc(C(F)(F)F)cn2)[nH]1,100,100
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,FC(c1cnc(Br)nc1)(F)F,Cc1ccc2cn[nH]c2c1-c1ncc(C(F)(F)F)cn1,92.4,49.1
COc1c(B(O)O)c(C2CC2)ncn1,FC(c1cnc(Br)nc1)(F)F,COc1ncnc(C2CC2)c1-c1ncc(C(F)(F)F)cn1,100,100
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,FC(c1cnc(Br)nc1)(F)F,COc1ccc(-c2ncc(C(F)(F)F)cn2)cn1,100,100
O=Cc1cc(B(O)O)ccc1,FC(c1cnc(Br)nc1)(F)F,O=Cc1cccc(-c2ncc(C(F)(F)F)cn2)c1,100,100
O=Cc1ccc(B2OCCCO2)cc1,FC(c1cnc(Br)nc1)(F)F,O=Cc1ccc(-c2ncc(C(F)(F)F)cn2)cc1,0,0
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,C1NC(I)=CN=1,Cc1cc(-c2cnc[nH]2)ccc1C(=O)N1CCCC1,50.2,1.2
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,C1NC(I)=CN=1,c1ccc2c(c1)Oc1c(cccc1-c1cnc[nH]1)S2,70.9,12.7
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,C1NC(I)=CN=1,Cc1nc2c(F)cc(-c3cnc[nH]3)cc2n1C(C)C,0,0
OB(c1c2sc3c(c2ccc1)cccc3)O,C1NC(I)=CN=1,c1ccc2c(c1)sc1c(-c3cnc[nH]3)cccc12,75.7,12.7
OB(c1c[n](-c2ccccc2)nc1)O,C1NC(I)=CN=1,c1ccc(-n2cc(-c3cnc[nH]3)cn2)cc1,61.6,20
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,C1NC(I)=CN=1,N#Cc1cc(-c2cnc[nH]2)ccc1OC1CCOCC1,83.1,4
OCc1c(B(O)O)cc(F)cc1,C1NC(I)=CN=1,OCc1ccc(F)cc1-c1cnc[nH]1,0,0
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,C1NC(I)=CN=1,CC(=O)Oc1ccc(-c2cnc[nH]2)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,C1NC(I)=CN=1,c1ccc2ncc(-c3cnc[nH]3)cc2c1,0,0
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,C1NC(I)=CN=1,C1=C(c2cnc[nH]2)Cc2ccccc21,79.9,90.9
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,C1NC(I)=CN=1,c1ncc(-c2scc3c2OCCO3)[nH]1,0,0
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,C1NC(I)=CN=1,CC(C)(C)OC(=O)N1CCCC1c1cnc[nH]1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,C1NC(I)=CN=1,O=c1cccc(-c2cnc[nH]2)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,C1NC(I)=CN=1,Cc1ccc2cn[nH]c2c1-c1cnc[nH]1,0,0
COc1c(B(O)O)c(C2CC2)ncn1,C1NC(I)=CN=1,COc1ncnc(C2CC2)c1-c1cnc[nH]1,43.4,6.6
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,C1NC(I)=CN=1,COc1ccc(-c2cnc[nH]2)cn1,0,0
O=Cc1cc(B(O)O)ccc1,C1NC(I)=CN=1,O=Cc1cccc(-c2cnc[nH]2)c1,58.5,33.2
O=Cc1ccc(B2OCCCO2)cc1,C1NC(I)=CN=1,O=Cc1ccc(-c2cnc[nH]2)cc1,0,0
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,CC([n]1c(=O)cc(Br)cc1)C,Cc1cc(-c2ccn(C(C)C)c(=O)c2)ccc1C(=O)N1CCCC1,94.1,87.9
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2ccc(-c3nc4ccccc4o3)cc2)cc1=O,72.9,33.1
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cccc3c2Oc2ccccc2S3)cc1=O,92.3,61.4
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,CC([n]1c(=O)cc(Br)cc1)C,Cc1nc2c(F)cc(-c3ccn(C(C)C)c(=O)c3)cc2n1C(C)C,90,60
OB(c1c2sc3c(c2ccc1)cccc3)O,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cccc3c2sc2ccccc23)cc1=O,98.3,56.5
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,CC([n]1c(=O)cc(Br)cc1)C,C=C(c1ccn(C(C)C)c(=O)c1)C(F)(F)F,57.7,71.8
OB(c1c[n](-c2ccccc2)nc1)O,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cnn(-c3ccccc3)c2)cc1=O,66.4,52.1
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2ccc(OC3CCOCC3)c(C#N)c2)cc1=O,95.5,52.2
OCc1c(B(O)O)cc(F)cc1,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cc(F)ccc2CO)cc1=O,69.2,42.7
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cnc3ccccc3c2)cc1=O,97.1,59.6
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(C2=Cc3ccccc3C2)cc1=O,89.4,71.1
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2scc3c2OCCO3)cc1=O,72.1,66.1
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(C2CCCN2C(=O)OC(C)(C)C)cc1=O,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cccc(=O)[nH]2)cc1=O,66,33.6
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,CC([n]1c(=O)cc(Br)cc1)C,Cc1ccc2cn[nH]c2c1-c1ccn(C(C)C)c(=O)c1,94.2,45
COc1c(B(O)O)c(C2CC2)ncn1,CC([n]1c(=O)cc(Br)cc1)C,COc1ncnc(C2CC2)c1-c1ccn(C(C)C)c(=O)c1,100,39.6
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,CC([n]1c(=O)cc(Br)cc1)C,COc1ccc(-c2ccn(C(C)C)c(=O)c2)cn1,97.1,79.7
O=Cc1cc(B(O)O)ccc1,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2cccc(C=O)c2)cc1=O,97.9,78.9
O=Cc1ccc(B2OCCCO2)cc1,CC([n]1c(=O)cc(Br)cc1)C,CC(C)n1ccc(-c2ccc(C=O)cc2)cc1=O,95,86.5
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2ccc(C(=O)N3CCCC3)c(C)c2)s1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2ccc(-c3nc4ccccc4o3)cc2)s1,100,100
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cccc3c2Oc2ccccc2S3)s1,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cccc3c2sc2ccccc23)s1,100,100
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,CC(c1sc(Br)cn1)=O,C=C(c1cnc(C(C)=O)s1)C(F)(F)F,0,0
OB(c1c[n](-c2ccccc2)nc1)O,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cnn(-c3ccccc3)c2)s1,100,100
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2ccc(OC3CCOCC3)c(C#N)c2)s1,100,100
OCc1c(B(O)O)cc(F)cc1,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cc(F)ccc2CO)s1,100,100
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,CC(c1sc(Br)cn1)=O,CC(=O)Oc1ccc(-c2cnc(C(C)=O)s2)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cnc3ccccc3c2)s1,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(C2=Cc3ccccc3C2)s1,100,100
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2scc3c2OCCO3)s1,100,100
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(C2CCCN2C(=O)OC(C)(C)C)s1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cccc(=O)[nH]2)s1,100,100
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2c(C)ccc3cn[nH]c23)s1,43.4,64
COc1c(B(O)O)c(C2CC2)ncn1,CC(c1sc(Br)cn1)=O,COc1ncnc(C2CC2)c1-c1cnc(C(C)=O)s1,38.8,75.2
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,CC(c1sc(Br)cn1)=O,COc1ccc(-c2cnc(C(C)=O)s2)cn1,100,100
O=Cc1cc(B(O)O)ccc1,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2cccc(C=O)c2)s1,100,100
O=Cc1ccc(B2OCCCO2)cc1,CC(c1sc(Br)cn1)=O,CC(=O)c1ncc(-c2ccc(C=O)cc2)s1,100,100
